sub_region_1,cod_goo_ccaa,ID_1,NAME_1,sub_region_2,ID_2,NAME_2,provincia_iso,iso-code
Andalusia,ES-AN,1,Andalucía,Almería,1,Almería,AL,ES-AL
Andalusia,ES-AN,1,Andalucía,Cádiz,2,Cádiz,CA,ES-CA
Andalusia,ES-AN,1,Andalucía,Córdoba,3,Córdoba,CO,ES-CO
Andalusia,ES-AN,1,Andalucía,Granada,4,Granada,GR,ES-GR
Andalusia,ES-AN,1,Andalucía,Huelva,5,Huelva,H,ES-H
Andalusia,ES-AN,1,Andalucía,Jaén,6,Jaén,J,ES-J
Andalusia,ES-AN,1,Andalucía,Málaga,7,Málaga,MA,ES-MA
Andalusia,ES-AN,1,Andalucía,Seville,8,Sevilla,SE,ES-SE
Aragon,ES-AR,2,Aragón,Huesca,9,Huesca,HU,ES-HU
Aragon,ES-AR,2,Aragón,Teruel,10,Teruel,TE,ES-TE
Aragon,ES-AR,2,Aragón,Zaragoza,11,Zaragoza,Z,ES-Z
Asturias,ES-AS,17,Principado de Asturias,Oviedo,51,Asturias,O,ES-O
Balearic Islands,ES-IB,13,Islas Baleares,Mallorca,44,Baleares,PM,ES-PM
Basque Country,ES-PV,16,País Vasco,Álava,48,Álava,VI,ES-VI
Basque Country,ES-PV,16,País Vasco,Biscay,50,Vizcaya,BI,ES-BI
Basque Country,ES-PV,16,País Vasco,Gipuzkoa,49,Guipúzcoa,SS,ES-SS
Canary Islands,ES-CN,14,Islas Canarias,Las Palmas,45,Las Palmas,GC,ES-GC
Canary Islands,ES-CN,14,Islas Canarias,Santa Cruz de Tenerife,46,Santa Cruz de Tenerife,TF,ES-TF
Cantabria,ES-CB,3,Cantabria,Santander,12,Cantabria,S,ES-S
Castile and León,ES-CL,5,Castilla y León,Ávila,18,Ávila,AV,ES-AV
Castile and León,ES-CL,5,Castilla y León,Burgos,19,Burgos,BU,ES-BU
Castile and León,ES-CL,5,Castilla y León,León,20,León,LE,ES-LE
Castile and León,ES-CL,5,Castilla y León,Palencia,21,Palencia,P,ES-P
Castile and León,ES-CL,5,Castilla y León,Salamanca,22,Salamanca,SA,ES-SA
Castile and León,ES-CL,5,Castilla y León,Segovia,23,Segovia,SG,ES-SG
Castile and León,ES-CL,5,Castilla y León,Soria,24,Soria,SO,ES-SO
Castile and León,ES-CL,5,Castilla y León,Valladolid,25,Valladolid,VA,ES-VA
Castile and León,ES-CL,5,Castilla y León,Zamora,26,Zamora,ZA,ES-ZA
Castile-La Mancha,ES-CM,4,Castilla-La Mancha,Albacete,13,Albacete,AB,ES-AB
Castile-La Mancha,ES-CM,4,Castilla-La Mancha,Ciudad Real,14,Ciudad Real,CR,ES-CR
Castile-La Mancha,ES-CM,4,Castilla-La Mancha,Cuenca,15,Cuenca,CU,ES-CU
Castile-La Mancha,ES-CM,4,Castilla-La Mancha,Guadalajara,16,Guadalajara,GU,ES-GU
Castile-La Mancha,ES-CM,4,Castilla-La Mancha,Toledo,17,Toledo,TO,ES-TO
Catalonia,ES-CT,6,Cataluña,Barcelona,27,Barcelona,B,ES-B
Catalonia,ES-CT,6,Cataluña,Girona,28,Girona,GI,ES-GI
Catalonia,ES-CT,6,Cataluña,Lleida,29,Lleida,L,ES-L
Catalonia,ES-CT,6,Cataluña,Tarragona,30,Tarragona,T,ES-T
Ceuta,ES-CE,7,Ceuta y Melilla,Ceuta,31,Ceuta,CE,ES-CE
Community of Madrid,ES-MD,8,Comunidad de Madrid,Madrid,33,Madrid,M,ES-M
Extremadura,ES-EX,11,Extremadura,Badajoz,38,Badajoz,BA,ES-BA
Extremadura,ES-EX,11,Extremadura,Cáceres,39,Cáceres,CC,ES-CC
Galicia,ES-GA,12,Galicia,A Coruña,40,A Coruña,C,ES-C
Galicia,ES-GA,12,Galicia,Lugo,41,Lugo,LU,ES-LU
Galicia,ES-GA,12,Galicia,Pontevedra,42,Ourense,OR,ES-PO
Galicia,ES-GA,12,Galicia,Province of Ourense,43,Pontevedra,PO,ES-OR
La Rioja,ES-RI,15,La Rioja,Logroño,47,La Rioja,LO,ES-LO
Melilla,ES-ML,7,Ceuta y Melilla,Melilla,32,Melilla,ML,ES-ML
Navarre,ES-NC,9,Comunidad Foral de Navarra,Pamploma,34,Navarra,NA,ES-NA
Region of Murcia,ES-MC,18,Región de Murcia,Murcia,52,Murcia,MU,ES-MU
Valencian Community,ES-VC,10,Comunidad Valenciana,Alicante,35,Alicante,A,ES-A
Valencian Community,ES-VC,10,Comunidad Valenciana,Castellón,36,Castellón,CS,ES-CS
Valencian Community,ES-VC,10,Comunidad Valenciana,Valencia,37,Valencia,V,ES-V
