ID_1,semana,edad60,s_leves,s_hosp,s_uci,s_def,s_total,pobtot,NAME_1
1,1,Menos60,0,5,0,0,5,45372775,Andalucía
1,1,Mas60,0,10,0,0,10,13990049.5,Andalucía
1,2,Menos60,0,1,0,0,1,45372775,Andalucía
1,2,Mas60,0,4,0,0,4,13990049.5,Andalucía
1,3,Menos60,0,3,0,0,3,45372775,Andalucía
1,3,Mas60,0,3,0,0,3,13990049.5,Andalucía
1,4,Menos60,0,2,0,0,2,45372775,Andalucía
1,4,Mas60,0,3,0,0,3,13990049.5,Andalucía
1,5,Menos60,0,3,0,0,3,45372775,Andalucía
1,5,Mas60,0,5,1,0,6,13990049.5,Andalucía
1,6,Menos60,0,2,0,0,2,45372775,Andalucía
1,6,Mas60,0,5,1,0,6,13990049.5,Andalucía
1,7,Menos60,0,3,0,0,3,45372775,Andalucía
1,7,Mas60,0,8,0,0,8,13990049.5,Andalucía
1,8,Menos60,0,3,0,0,3,45372775,Andalucía
1,8,Mas60,0,11,1,0,12,13990049.5,Andalucía
1,9,Menos60,9,9,2,0,20,45372775,Andalucía
1,9,Mas60,4,26,4,0,34,13990049.5,Andalucía
1,10,Menos60,45,34,2,0,81,45372775,Andalucía
1,10,Mas60,33,68,10,0,111,13990049.5,Andalucía
1,11,Menos60,606,175,20,3,804,45372775,Andalucía
1,11,Mas60,345,269,42,21,677,13990049.5,Andalucía
1,12,Menos60,1604,672,70,13,2359,45372775,Andalucía
1,12,Mas60,1164,986,124,133,2407,13990049.5,Andalucía
1,13,Menos60,2104,728,105,19,2956,45372775,Andalucía
1,13,Mas60,1907,1261,167,276,3611,13990049.5,Andalucía
1,14,Menos60,1069,300,42,18,1429,45372775,Andalucía
1,14,Mas60,1225,623,63,295,2206,13990049.5,Andalucía
1,15,Menos60,567,139,17,18,741,45372775,Andalucía
1,15,Mas60,706,335,34,226,1301,13990049.5,Andalucía
1,16,Menos60,332,66,7,15,420,45372775,Andalucía
1,16,Mas60,353,192,21,152,718,13990049.5,Andalucía
1,17,Menos60,206,44,6,8,264,45372775,Andalucía
1,17,Mas60,161,98,11,87,357,13990049.5,Andalucía
1,18,Menos60,152,26,1,5,184,45372775,Andalucía
1,18,Mas60,115,60,4,54,233,13990049.5,Andalucía
1,19,Menos60,95,23,3,1,122,45372775,Andalucía
1,19,Mas60,68,32,7,30,137,13990049.5,Andalucía
1,20,Menos60,75,7,2,5,89,45372775,Andalucía
1,20,Mas60,41,17,3,26,87,13990049.5,Andalucía
1,21,Menos60,53,6,1,1,61,45372775,Andalucía
1,21,Mas60,27,15,1,18,61,13990049.5,Andalucía
1,22,Menos60,72,10,0,0,82,45372775,Andalucía
1,22,Mas60,24,9,0,4,37,13990049.5,Andalucía
1,23,Menos60,57,3,1,2,63,45372775,Andalucía
1,23,Mas60,18,7,1,2,28,13990049.5,Andalucía
1,24,Menos60,23,2,0,1,26,45372775,Andalucía
1,24,Mas60,7,5,0,3,15,13990049.5,Andalucía
1,25,Menos60,73,4,1,1,79,45372775,Andalucía
1,25,Mas60,12,6,0,3,21,13990049.5,Andalucía
1,26,Menos60,197,10,3,0,210,45372775,Andalucía
1,26,Mas60,24,9,0,4,37,13990049.5,Andalucía
1,27,Menos60,107,11,2,0,120,45372775,Andalucía
1,27,Mas60,25,9,1,2,37,13990049.5,Andalucía
1,28,Menos60,286,19,3,0,308,45372775,Andalucía
1,28,Mas60,38,7,1,3,49,13990049.5,Andalucía
1,29,Menos60,529,22,1,0,552,45372775,Andalucía
1,29,Mas60,54,7,0,1,62,13990049.5,Andalucía
1,30,Menos60,630,25,2,1,658,45372775,Andalucía
1,30,Mas60,54,20,3,2,79,13990049.5,Andalucía
1,31,Menos60,1233,49,6,1,1289,45372775,Andalucía
1,31,Mas60,122,43,3,1,169,13990049.5,Andalucía
1,32,Menos60,2043,68,10,2,2123,45372775,Andalucía
1,32,Mas60,251,58,7,5,321,13990049.5,Andalucía
1,33,Menos60,3404,105,12,0,3521,45372775,Andalucía
1,33,Mas60,517,98,9,13,637,13990049.5,Andalucía
1,34,Menos60,4278,126,7,3,4414,45372775,Andalucía
1,34,Mas60,723,166,17,18,924,13990049.5,Andalucía
1,35,Menos60,5609,176,16,7,5808,45372775,Andalucía
1,35,Mas60,1081,247,26,30,1384,13990049.5,Andalucía
1,36,Menos60,5701,215,21,5,5942,45372775,Andalucía
1,36,Mas60,1486,353,37,63,1939,13990049.5,Andalucía
1,37,Menos60,5990,222,32,15,6259,45372775,Andalucía
1,37,Mas60,1709,395,29,91,2224,13990049.5,Andalucía
1,38,Menos60,6697,203,20,8,6928,45372775,Andalucía
1,38,Mas60,1892,401,41,80,2414,13990049.5,Andalucía
1,39,Menos60,6584,199,18,10,6811,45372775,Andalucía
1,39,Mas60,1688,394,30,106,2218,13990049.5,Andalucía
