provincia_iso,semana,edad60,s_leves,s_hosp,s_uci,s_def,s_total,pobtot,ID_1,NAME_1,ID_2,NAME_2
A,1,-60,0,0,0,0,0,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,1,+60,0,2,0,0,2,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,2,-60,0,0,0,0,0,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,2,+60,0,3,0,0,3,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,3,-60,0,1,0,0,1,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,3,+60,0,2,0,0,2,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,4,-60,0,0,0,0,0,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,4,+60,0,3,0,0,3,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,5,-60,0,1,0,0,1,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,5,+60,0,0,0,0,0,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,6,-60,0,0,0,0,0,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,6,+60,0,0,0,0,0,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,7,-60,0,1,0,0,1,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,7,+60,0,2,0,0,2,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,8,-60,0,1,1,0,2,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,8,+60,0,7,2,0,9,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,9,-60,1,2,0,0,3,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,9,+60,5,5,1,0,11,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,10,-60,16,8,0,0,24,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,10,+60,8,22,1,0,31,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,11,-60,197,52,9,0,258,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,11,+60,153,128,23,11,315,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,12,-60,302,211,26,4,543,9697516.5,10,Comunidad Valenciana,35,Alicante/Alacant
A,12,+60,447,453,61,73,1034,3515172.5,10,Comunidad Valenciana,35,Alicante/Alacant
