ID_1,NAME_1,ID_2,NAME_2,provincia_iso,sexo,fecha,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
4,Castilla-La Mancha,13,Albacete,AB,H,01-07-2020,18092,21015,22579,25185,31417,30607,21242,14241,10082
10,Comunidad Valenciana,35,Alicante/Alacant,A,H,01-07-2020,86974,102345,98096,118427,157648,140693,109017,80966,42672
1,Andalucía,1,Almería,AL,H,01-07-2020,40817,42409,45054,51981,60565,50853,36818,22637,11581
16,País Vasco,48,Araba/Álava,VI,H,01-07-2020,16441,17143,14760,18950,27448,24721,19484,14607,8133
17,Principado de Asturias,51,Asturias,O,H,01-07-2020,34560,41923,40467,55622,82878,79411,71297,49042,30088
5,Castilla y León,18,Ávila,AV,H,01-07-2020,6189,7497,7690,8671,11761,12883,11078,7711,6156
11,Extremadura,38,Badajoz,BA,H,01-07-2020,30493,35714,37657,43452,51314,52422,38763,25504,15995
13,Islas Baleares,44,"Balears, Illes",PM,H,01-07-2020,57939,64488,69645,93342,111858,89049,61071,40271,20287
6,Cataluña,27,Barcelona,B,H,01-07-2020,274312,316834,310689,354908,469786,390747,287227,208795,119902
16,País Vasco,50,Bizkaia,BI,H,01-07-2020,48607,56476,51059,62590,90939,87876,71526,49952,30229
5,Castilla y León,19,Burgos,BU,H,01-07-2020,14738,16810,16554,20514,28381,28668,24534,16877,11045
11,Extremadura,39,Cáceres,CC,H,01-07-2020,14981,19147,20181,23830,28811,32455,26118,16358,12337
1,Andalucía,2,Cádiz,CA,H,01-07-2020,61238,75661,68689,82017,104920,95934,69744,43892,20483
3,Cantabria,12,Cantabria,S,H,01-07-2020,23613,29251,26108,34258,48788,44842,37778,24551,14570
10,Comunidad Valenciana,36,Castellón/Castelló,CS,H,01-07-2020,27803,31644,29362,34694,49397,44016,32333,22952,13352
4,Castilla-La Mancha,14,Ciudad Real,CR,H,01-07-2020,22058,26237,28404,31829,37558,38544,27966,18370,12690
1,Andalucía,3,Córdoba,CO,H,01-07-2020,35945,43225,45169,49845,58923,60028,44349,28354,18082
12,Galicia,40,"Coruña, A",C,H,01-07-2020,43537,49301,48038,65890,93084,82785,69243,53949,33416
4,Castilla-La Mancha,15,Cuenca,CU,H,01-07-2020,7924,9687,10792,12909,15415,16523,11966,8152,7042
16,País Vasco,49,Gipuzkoa,SS,H,01-07-2020,32445,37983,34335,38409,57350,53562,43660,32581,18107
6,Cataluña,28,Girona,GI,H,01-07-2020,39833,45377,43576,47380,63855,55801,42720,28662,16140
1,Andalucía,4,Granada,GR,H,01-07-2020,44199,54155,53917,60275,72914,69535,50738,32787,19612
4,Castilla-La Mancha,16,Guadalajara,GU,H,01-07-2020,13435,15876,13717,17747,24857,20492,13564,8133,5664
1,Andalucía,5,Huelva,H,H,01-07-2020,25727,30497,29767,35560,44667,38687,27733,18429,9206
2,Aragón,9,Huesca,HU,H,01-07-2020,9641,11101,11298,13579,18146,17372,13761,9453,7183
1,Andalucía,6,Jaén,J,H,01-07-2020,27523,34602,38583,39755,46621,50040,36421,22065,15719
5,Castilla y León,20,León,LE,H,01-07-2020,15473,18489,19971,25858,33959,36651,32456,22123,17450
6,Cataluña,29,Lleida,L,H,01-07-2020,21107,24310,24064,27762,38076,33897,24878,16252,10946
12,Galicia,41,Lugo,LU,H,01-07-2020,10856,11816,13470,18999,24442,24901,22680,17376,14331
8,Comunidad de Madrid,33,Madrid,M,H,01-07-2020,334349,366165,363871,446488,569313,472080,326521,229738,129082
1,Andalucía,7,Málaga,MA,H,01-07-2020,82946,95957,87249,110787,141635,124133,90570,64169,30076
18,Región de Murcia,52,Murcia,MU,H,01-07-2020,83138,93066,90026,101933,130586,108618,73120,47219,27403
9,Comunidad Foral de Navarra,34,Navarra,NA,H,01-07-2020,32686,36779,34718,38944,53934,48962,36981,26342,15307
12,Galicia,42,Ourense,OR,H,01-07-2020,9559,11375,12596,16483,22013,22396,20622,18189,14049
5,Castilla y León,21,Palencia,P,H,01-07-2020,5890,6613,7290,9144,11723,13227,12222,7828,5044
14,Islas Canarias,45,"Palmas, Las",GC,H,01-07-2020,46109,62452,66279,81714,104752,96159,61794,37471,17633
12,Galicia,43,Pontevedra,PO,H,01-07-2020,37849,45994,43998,56664,81093,69290,55386,42313,24453
15,La Rioja,47,"Rioja, La",LO,H,01-07-2020,14642,16683,15159,18770,26353,23724,18894,13271,8246
5,Castilla y León,22,Salamanca,SA,H,01-07-2020,11872,14842,15249,18060,23350,26079,21648,16113,12795
14,Islas Canarias,46,Santa Cruz de Tenerife,TF,H,01-07-2020,42432,54455,61215,75605,96577,86908,59295,39951,21021
5,Castilla y León,23,Segovia,SG,H,01-07-2020,6374,7777,7939,9105,11977,12902,10006,6386,4846
1,Andalucía,8,Sevilla,SE,H,01-07-2020,100204,118250,107986,127175,165569,143444,98524,65544,31609
5,Castilla y León,24,Soria,SO,H,01-07-2020,3571,4189,4379,5176,6741,7577,5979,4260,3543
6,Cataluña,30,Tarragona,T,H,01-07-2020,40853,48004,42309,50912,69932,58976,45597,32307,18234
2,Aragón,10,Teruel,TE,H,01-07-2020,5551,6274,6785,8183,10099,10672,8921,5846,5154
4,Castilla-La Mancha,17,Toledo,TO,H,01-07-2020,36047,42045,37821,46784,60787,51728,37289,24262,16865
10,Comunidad Valenciana,37,Valencia/València,V,H,01-07-2020,119438,143367,134212,158071,219456,191191,140842,96788,53998
5,Castilla y León,25,Valladolid,VA,H,01-07-2020,21544,25059,22946,29007,43842,40195,32372,24646,13938
5,Castilla y León,26,Zamora,ZA,H,01-07-2020,5163,6364,7319,9169,12061,13974,12713,9818,8201
2,Aragón,11,Zaragoza,Z,H,01-07-2020,44656,51651,48513,59402,81138,73139,55488,39516,24795
7,Ceuta y Melilla,31,Ceuta,CE,H,01-07-2020,5308,5897,5434,5974,6536,6043,4219,2071,1022
7,Ceuta y Melilla,32,Melilla,ML,H,01-07-2020,6980,6247,6069,5388,5290,5578,4114,1782,885
4,Castilla-La Mancha,13,Albacete,AB,M,01-07-2020,16579,19813,20781,23510,29905,30334,21841,16690,15085
10,Comunidad Valenciana,35,Alicante/Alacant,A,M,01-07-2020,81496,95537,92206,118218,151620,141350,116923,92564,62741
1,Andalucía,1,Almería,AL,M,01-07-2020,38438,39458,38843,49294,56862,49823,37439,25941,18192
16,País Vasco,48,Araba/Álava,VI,M,01-07-2020,15275,15824,14506,19720,27020,25347,21118,16465,13282
17,Principado de Asturias,51,Asturias,O,M,01-07-2020,32493,39704,38810,55619,83367,82964,79437,61433,56311
5,Castilla y León,18,Ávila,AV,M,01-07-2020,5649,6887,7128,8302,11041,12284,9785,8211,9183
11,Extremadura,38,Badajoz,BA,M,01-07-2020,28691,34006,36599,41914,50359,52018,38339,30156,26675
13,Islas Baleares,44,"Balears, Illes",PM,M,01-07-2020,54405,59455,67958,92503,103765,86314,64182,46040,32598
6,Cataluña,27,Barcelona,B,M,01-07-2020,258370,293776,299816,368518,473142,405471,327822,262186,211208
16,País Vasco,50,Bizkaia,BI,M,01-07-2020,46086,52754,50013,63594,91521,91310,79202,62565,56021
5,Castilla y León,19,Burgos,BU,M,01-07-2020,13703,15650,15247,19220,26606,27429,22874,17706,18444
11,Extremadura,39,Cáceres,CC,M,01-07-2020,14216,17929,18654,22072,27556,31275,24524,18999,19798
1,Andalucía,2,Cádiz,CA,M,01-07-2020,57746,71612,64848,82118,102460,95894,72685,51046,34184
3,Cantabria,12,Cantabria,S,M,01-07-2020,22185,27189,24452,34172,48463,45609,40499,29426,26601
10,Comunidad Valenciana,36,Castellón/Castelló,CS,M,01-07-2020,25982,29612,27752,34693,47883,43104,33568,26406,20856
4,Castilla-La Mancha,14,Ciudad Real,CR,M,01-07-2020,20914,24354,26296,29670,36565,37881,28838,22550,20951
1,Andalucía,3,Córdoba,CO,M,01-07-2020,34016,40815,42194,48286,58608,61564,46875,35408,31390
12,Galicia,40,"Coruña, A",C,M,01-07-2020,40804,46464,46556,66065,94405,87928,76465,66382,58690
4,Castilla-La Mancha,15,Cuenca,CU,M,01-07-2020,7658,9286,10142,11464,13895,15164,11164,9333,10220
16,País Vasco,49,Gipuzkoa,SS,M,01-07-2020,30931,35856,33241,39192,56415,54397,46893,38759,32808
6,Cataluña,28,Girona,GI,M,01-07-2020,37506,41506,40173,48856,61819,54289,43752,31976,26446
1,Andalucía,4,Granada,GR,M,01-07-2020,41318,49918,50584,59473,71139,70712,53578,39443,31531
4,Castilla-La Mancha,16,Guadalajara,GU,M,01-07-2020,12821,14742,12859,17276,23074,18844,12861,8399,8658
1,Andalucía,5,Huelva,H,M,01-07-2020,24426,28488,27706,36210,45519,40094,28600,21264,15850
2,Aragón,9,Huesca,HU,M,01-07-2020,9160,10221,10154,12417,16292,16235,13323,10281,11084
1,Andalucía,6,Jaén,J,M,01-07-2020,26053,32330,35631,37481,44413,49830,37034,27749,25509
5,Castilla y León,20,León,LE,M,01-07-2020,14390,17637,18440,24767,33572,37247,32308,26016,29921
6,Cataluña,29,Lleida,L,M,01-07-2020,20059,21798,21532,26129,33779,30930,24153,18777,17615
12,Galicia,41,Lugo,LU,M,01-07-2020,10488,11304,12842,18434,24185,25549,22457,20074,22938
8,Comunidad de Madrid,33,Madrid,M,M,01-07-2020,316413,346173,369831,467953,589879,510094,386127,296498,235039
1,Andalucía,7,Málaga,MA,M,01-07-2020,78379,90214,85743,115127,141452,128373,98589,73303,47174
18,Región de Murcia,52,Murcia,MU,M,01-07-2020,78162,86351,83204,100027,121592,107081,77383,56707,43522
9,Comunidad Foral de Navarra,34,Navarra,NA,M,01-07-2020,31078,34882,33573,39212,52182,48045,37788,29884,25916
12,Galicia,42,Ourense,OR,M,01-07-2020,8899,10728,11937,16167,22088,23131,21695,21184,22590
5,Castilla y León,21,Palencia,P,M,01-07-2020,5434,6339,6857,8635,11229,12728,11567,8407,9143
14,Islas Canarias,45,"Palmas, Las",GC,M,01-07-2020,43520,59085,67385,83071,101306,93647,63010,42201,27368
12,Galicia,43,Pontevedra,PO,M,01-07-2020,35000,42372,41579,56338,81462,71893,61786,51260,44151
15,La Rioja,47,"Rioja, La",LO,M,01-07-2020,13828,15666,14937,18950,25471,23617,19202,14872,13857
5,Castilla y León,22,Salamanca,SA,M,01-07-2020,11321,13895,14740,17700,23577,26474,21986,18840,20243
14,Islas Canarias,46,Santa Cruz de Tenerife,TF,M,01-07-2020,40466,50910,60860,77118,94036,87443,63136,45794,32312
5,Castilla y León,23,Segovia,SG,M,01-07-2020,6037,7352,7270,8448,11280,12051,8968,6941,7967
1,Andalucía,8,Sevilla,SE,M,01-07-2020,94702,112560,103643,128565,166095,148136,108190,81904,57878
5,Castilla y León,24,Soria,SO,M,01-07-2020,3315,3915,4117,4761,6108,6786,5289,4242,5468
6,Cataluña,30,Tarragona,T,M,01-07-2020,38094,43818,40194,51160,66310,57605,47302,36085,28572
2,Aragón,10,Teruel,TE,M,01-07-2020,5363,5989,6498,7255,8941,10010,7865,6191,7528
4,Castilla-La Mancha,17,Toledo,TO,M,01-07-2020,33913,38694,34987,44442,56329,49389,36074,27202,26044
10,Comunidad Valenciana,37,Valencia/València,V,M,01-07-2020,111966,134491,129494,158737,215249,194953,155004,120480,93651
5,Castilla y León,25,Valladolid,VA,M,01-07-2020,20538,23803,21945,28722,42969,41233,35199,28583,23289
5,Castilla y León,26,Zamora,ZA,M,01-07-2020,4697,6153,6838,8267,11410,13223,11856,10640,12676
2,Aragón,11,Zaragoza,Z,M,01-07-2020,41942,47953,46943,59817,79257,72517,59897,48043,42823
7,Ceuta y Melilla,31,Ceuta,CE,M,01-07-2020,4988,5858,5486,5617,5913,5528,3975,2338,1792
7,Ceuta y Melilla,32,Melilla,ML,M,01-07-2020,6421,5919,5558,5703,5660,5295,3745,2030,1628
4,Castilla-La Mancha,13,Albacete,AB,H,01-01-2020,18305,21039,22603,25324,31528,30582,20780,14478,10188
10,Comunidad Valenciana,35,Alicante/Alacant,A,H,01-01-2020,88227,101851,97733,120040,157758,139477,107519,80924,41657
1,Andalucía,1,Almería,AL,H,01-01-2020,41101,42159,45126,52548,60642,50425,36169,22574,11401
16,País Vasco,48,Araba/Álava,VI,H,01-01-2020,16709,16927,14550,19243,27530,24570,19307,14530,8115
17,Principado de Asturias,51,Asturias,O,H,01-01-2020,35202,41853,40507,57001,83285,79587,70845,48522,30231
5,Castilla y León,18,Ávila,AV,H,01-01-2020,6265,7524,7676,8812,11837,12935,10895,7773,6313
11,Extremadura,38,Badajoz,BA,H,01-01-2020,30921,35707,37915,43813,51581,52475,37877,25581,15904
13,Islas Baleares,44,"Balears, Illes",PM,H,01-01-2020,58651,64120,69792,94304,111405,87860,59965,39942,19826
6,Cataluña,27,Barcelona,B,H,01-01-2020,278427,314746,307989,358329,472127,387060,284799,210309,119916
16,País Vasco,50,Bizkaia,BI,H,01-01-2020,49281,56110,50460,63610,91533,87664,70775,49670,30198
5,Castilla y León,19,Burgos,BU,H,01-01-2020,14969,16742,16493,20775,28532,28785,24216,16747,11192
11,Extremadura,39,Cáceres,CC,H,01-01-2020,15275,19304,20251,24159,28928,32742,25574,16476,12459
1,Andalucía,2,Cádiz,CA,H,01-01-2020,62407,75593,68737,83190,105345,95209,68383,43709,20012
3,Cantabria,12,Cantabria,S,H,01-01-2020,24145,29034,26015,35046,48865,44609,37406,24177,14554
10,Comunidad Valenciana,36,Castellón/Castelló,CS,H,01-01-2020,28151,31527,29166,35301,49563,43668,31849,22995,13123
4,Castilla-La Mancha,14,Ciudad Real,CR,H,01-01-2020,22427,26316,28473,32229,37676,38611,27481,18639,12994
1,Andalucía,3,Córdoba,CO,H,01-01-2020,36425,43414,45465,50427,59100,60006,43268,28502,17961
12,Galicia,40,"Coruña, A",C,H,01-01-2020,44255,49041,47894,67351,93022,82495,68608,53683,33082
4,Castilla-La Mancha,15,Cuenca,CU,H,01-01-2020,8022,9743,10875,13065,15489,16598,11655,8348,7220
16,País Vasco,49,Gipuzkoa,SS,H,01-01-2020,32978,37728,33843,39023,57830,53323,43344,32336,17867
